image_path,label
titian/titian_0153.jpg,47
edgar_degas/edgar_degas_0565.jpg,11
diego_rivera/diego_rivera_0054.jpg,9
el_greco/el_greco_0009.jpg,14
camille_pissarro/camille_pissarro_0055.jpg,6
albrecht_duerer/albrecht_duerer_0065.jpg,0
peter_paul_rubens/peter_paul_rubens_0094.jpg,38
henri_de_toulouse_lautrec/henri_de_toulouse_lautrec_0025.jpg,22
vincent_van_gogh/vincent_van_gogh_0470.jpg,49
pablo_picasso/pablo_picasso_0296.jpg,34
kazimir_malevich/kazimir_malevich_0043.jpg,29
caravaggio/caravaggio_0028.jpg,7
gustav_klimt/gustav_klimt_0062.jpg,20
edgar_degas/edgar_degas_0409.jpg,11
francisco_goya/francisco_goya_0141.jpg,16
andy_warhol/andy_warhol_0161.jpg,5
albrecht_duooarer/albrecht_duooarer_0005.jpg,1
claude_monet/claude_monet_0005.jpg,8
amedeo_modigliani/amedeo_modigliani_0155.jpg,3
pierre_auguste_renoir/pierre_auguste_renoir_0078.jpg,39
henri_matisse/henri_matisse_0152.jpg,23
jan_van_eyck/jan_van_eyck_0039.jpg,27
francisco_goya/francisco_goya_0102.jpg,16
andrei_rublev/andrei_rublev_0068.jpg,4
pablo_picasso/pablo_picasso_0118.jpg,34
andrei_rublev/andrei_rublev_0035.jpg,4
alfred_sisley/alfred_sisley_0218.jpg,2
giotto_di_bondone/giotto_di_bondone_0100.jpg,19
frida_kahlo/frida_kahlo_0032.jpg,17
edgar_degas/edgar_degas_0579.jpg,11
edgar_degas/edgar_degas_0386.jpg,11
william_turner/william_turner_0024.jpg,50
edvard_munch/edvard_munch_0015.jpg,13
pieter_bruegel/pieter_bruegel_0003.jpg,41
gustav_klimt/gustav_klimt_0101.jpg,20
andy_warhol/andy_warhol_0051.jpg,5
titian/titian_0136.jpg,47
francisco_goya/francisco_goya_0281.jpg,16
titian/titian_0077.jpg,47
pablo_picasso/pablo_picasso_0057.jpg,34
paul_gauguin/paul_gauguin_0239.jpg,36
pierre_auguste_renoir/pierre_auguste_renoir_0086.jpg,39
rembrandt/rembrandt_0023.jpg,43
albrecht_duerer/albrecht_duerer_0156.jpg,0
jackson_pollock/jackson_pollock_0015.jpg,26
joan_miro/joan_miro_0018.jpg,28
marc_chagall/marc_chagall_0182.jpg,31
edvard_munch/edvard_munch_0035.jpg,13
salvador_dali/salvador_dali_0022.jpg,45
paul_klee/paul_klee_0002.jpg,37
edouard_manet/edouard_manet_0018.jpg,12
titian/titian_0103.jpg,47
titian/titian_0051.jpg,47
sandro_botticelli/sandro_botticelli_0024.jpg,46
pablo_picasso/pablo_picasso_0258.jpg,34
vincent_van_gogh/vincent_van_gogh_0082.jpg,49
paul_gauguin/paul_gauguin_0039.jpg,36
edgar_degas/edgar_degas_0076.jpg,11
gustav_klimt/gustav_klimt_0094.jpg,20
francisco_goya/francisco_goya_0145.jpg,16
leonardo_da_vinci/leonardo_da_vinci_0079.jpg,30
titian/titian_0025.jpg,47
claude_monet/claude_monet_0016.jpg,8
edgar_degas/edgar_degas_0296.jpg,11
jackson_pollock/jackson_pollock_0016.jpg,26
edgar_degas/edgar_degas_0700.jpg,11
vincent_van_gogh/vincent_van_gogh_0552.jpg,49
albrecht_duerer/albrecht_duerer_0232.jpg,0
pablo_picasso/pablo_picasso_0175.jpg,34
vincent_van_gogh/vincent_van_gogh_0352.jpg,49
